m2/€
"44,83"
"16,56"
"22,31"
"37,25"
"19,55"
"10,88"
"17,67"
"19,70"
"25,00"
"19,10"
"14,44"
"16,00"
"27,41"
"21,43"
"13,41"
"20,86"
"27,78"
"21,25"
"14,78"
"15,00"
"15,63"
"13,08"
"17,86"
"17,50"
"13,92"
"16,77"
"17,14"
"58,94"
"19,33"
"29,51"
"14,71"
"33,33"
"20,00"
"11,03"
"16,67"
"20,00"
"29,88"
"11,25"
"14,74"
"17,11"
"24,00"
"25,00"
"14,89"
"22,27"
"20,00"
"27,27"
"21,33"
"18,18"
"16,47"
"13,16"
"15,05"
"15,07"
"15,63"
"20,54"
"30,97"
"24,19"
"39,57"
"18,50"
"22,58"
"16,96"
"17,36"
"14,75"
"18,52"
"20,18"
"13,05"
"20,95"
"10,66"
"37,14"
"25,00"
"15,53"
"33,33"
"14,50"
"26,39"
"21,13"
"14,52"
"14,17"
"23,87"
"18,06"
"16,46"
"32,96"
"15,00"
"20,77"
"42,06"
"16,38"
"17,79"
"11,56"
"14,96"
"15,71"
"16,19"
"35,34"
"35,40"
"18,12"
"21,39"
"15,29"
"20,71"
"17,94"
"42,86"
"34,81"
"81,25"
"16,70"
"36,36"
"12,12"
"33,33"
